Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:03:15.738968
CORSAIR RM850E,3950,2023-12-10 22:03:18.469627
Intel Core i5-14600K,13760,2023-12-10 22:04:36.629276
GIGABYTE B760M H DDR4,2865,2023-12-10 22:04:37.520007
GALAX GTX 1660 Ti (1-CLICK OC),9990,2023-12-10 22:04:38.193578
KINGSTON FURY Beast RGB DDR5 16GB (8GBx2) 5200 Black,2990,2023-12-10 22:04:38.757557
KINGSTON KC3000 4TB M.2,29900,2023-12-10 22:04:39.589529
THERMALTAKE TR2 S 650W,1790,2023-12-10 22:04:40.423228
AERO COOL CS-1103 Black,915,2023-12-10 22:04:41.253645
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:17:03.363477
GALAX GTX 1660 Ti (1-CLICK OC),9990,2023-12-10 22:17:05.593055
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:17:28.031119
MSI MEG Ai1300P,12425,2023-12-10 22:17:30.840726
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:18:22.958320
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition,19990,2023-12-10 22:18:25.127057
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:27:33.843585
AEROCOOL Superb 600W,890,2023-12-10 22:27:35.785298
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:28:16.893933
GALAX GTX 1660 Ti (1-CLICK OC),9990,2023-12-10 22:28:18.419356
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:33:06.104362
SILVERSTONE ST70F-ES230 700W 80+,1650,2023-12-10 22:33:09.533812
Title,Price,Time
ASRock B760M Pro RS,4785,2023-12-10 22:37:39.954885
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition,19990,2023-12-10 22:37:42.408054
KINGSTON KC3000 4TB M.2,29900,2023-12-10 22:37:44.680399
Intel Core i3-13100F,4205,2023-12-10 22:39:48.309889
ASRock B760M Pro RS,4785,2023-12-10 22:39:49.248669
GALAX GTX 1660 Ti (1-CLICK OC),9990,2023-12-10 22:39:49.835693
TEAMGROUP T-Force Delta RGB DDR5 32GB (16GBx2) 6400,5890,2023-12-10 22:39:50.368523
HIKVISION Minder 240GB,590,2023-12-10 22:39:51.405301
CORSAIR RM850E,3950,2023-12-10 22:39:51.947428
ASUS GX601 ROG Strix Helios White Edition,9900,2023-12-10 22:39:52.491520
Title,Price,Time
HIKVISION Minder 240GB,590,2023-12-10 22:41:52.758786
AEROCOOL Superb 600W,890,2023-12-10 22:41:54.502166
ASUS ROG Strix Z790-I Gaming WIFI,23425,2023-12-10 22:41:56.192447
